,AverageTradePrice,BuyQuantity,Close,Exchange,ExchangeType,High,LastQuantity,LastTradeTime,LastTradedPrice,Low,NetChange,Open,OpenInterest,Scripcode,SellQuantity,TotalBuyQuantity,TotalSellQuantity,Volume,Name,FullName
33,2485.99,0,2483.4,N,C,2520,14,/Date(1695635997000)/,2491.95,2465,8.54999999999973,2483.4,0,342,108,0,108,46905,CAMS,COMPUTER AGE MNGT SER LTD
34,330.5,0,331.05,N,C,332.7,1,/Date(1695637583000)/,329.7,327,-1.35000000000002,331.05,0,357,613,0,613,131356,NAM-INDIA,NIPPON L I A M LTD
35,2565.96,2,2578.1,N,C,2578,8,/Date(1695636685000)/,2564.3,2554.7,-13.7999999999997,2578,0,368,0,2,0,5123,BASF,BASF INDIA LTD
36,1639.7,0,1633.6,N,C,1650,9,/Date(1695637464000)/,1635.3,1621.35,1.70000000000005,1638.5,0,371,51,0,51,229856,BATAINDIA,BATA INDIA LTD
37,1201.16,0,1203,N,C,1213,58,/Date(1695637269000)/,1200.4,1190,-2.59999999999991,1208.7,0,380,942,0,942,37661,BBTC,BOMBAY BURMAH TRADING COR
38,135.08,1021,136.05,N,C,136.85,1000,/Date(1695637786000)/,136.6,133.6,0.549999999999983,136.3,0,383,0,1021,0,14984591,BEL,BHARAT ELECTRONICS LTD
39,391.82,12,387.65,N,C,396.35,23,/Date(1695635997000)/,392.3,387,4.65000000000003,389,0,385,0,12,0,100318,MAHLOG,MAHINDRA LOGISTIC LIMITED
40,140.22,0,138.2,N,C,142.7,3,/Date(1695637653000)/,140.05,137,1.85000000000002,138.65,0,399,2255,0,2255,1518810,NIACL,THE NEW INDIA ASSU CO LTD
41,624.21,0,669.3,N,C,668,2,/Date(1695637778000)/,611.4,610,-57.9,668,0,404,504,0,504,4834319,BERGEPAINT,BERGER PAINTS (I) LTD
42,88.87,301,88.6,N,C,89.8,75,/Date(1695636995000)/,88.55,88.2,-0.0499999999999972,88.55,0,419,0,301,0,276353,BEPL,BHANSALI ENG. POLYMERS LT
43,1095.76,572,1090.95,N,C,1110,20,/Date(1695636604000)/,1106.25,1076.7,15.3,1090.95,0,422,0,572,0,1424185,BHARATFORG,BHARAT FORGE LTD
44,125.08,97083,124.4,N,C,126.95,13,/Date(1695637798000)/,125.25,123.7,0.849999999999994,124.85,0,438,0,97083,0,37608586,BHEL,BHEL
45,643.99,330,649.45,N,C,653,1,/Date(1695637498000)/,642.1,640.05,-7.35000000000002,652.2,0,467,0,330,0,2079256,HDFCLIFE,HDFC LIFE INS CO LTD
46,31711.67,0,31285.1,N,C,31975.85,1,/Date(1695635995000)/,31693.15,31113,408.050000000003,31113,0,474,2,0,2,3369,3MINDIA,3M INDIA LIMITED
47,1163.16,0,1166.45,N,C,1176.85,4,/Date(1695637779000)/,1155.95,1148.4,-10.5,1165,0,480,96,0,96,70751,BIRLACORPN,BIRLA CORPORATION LTD
48,6738.28,0,6790.05,N,C,6825.8,3,/Date(1695635988000)/,6717.15,6701.45,-72.9000000000005,6820,0,495,0,0,0,5940,BLUEDART,BLUE DART EXPRESS LTD
49,2176.43,0,2200.35,N,C,2219.7,1,/Date(1695637650000)/,2157.8,2142.3,-42.5499999999997,2210.65,0,509,202,0,202,924605,MAZDOCK,MAZAGON DOCK SHIPBUIL LTD
50,143.46,520,146.2,N,C,146.25,1,/Date(1695637643000)/,142.3,141.7,-3.89999999999998,145.5,0,513,0,520,0,1717707,BOMDYEING,BOMBAY DYEING & MFG. CO L
51,350.87,200,351.95,N,C,353.5,55,/Date(1695637284000)/,351.9,348.05,-0.0500000000000114,353.4,0,526,0,200,0,2479876,BPCL,BHARAT PETROLEUM CORP  LT
